GeneID,baseMean,Log2FoldChange,lfcSE ,stat ,pvalue ,padj,comparison
Csec_G00412,74.25175926,0.429222198,0.918426012,0.467345429,0.640252759,1,Sham vs Control
Csec_G00414,55.55984963,-0.615674809,0.589813112,-1.043847275,0.296556055,1,Sham vs Control
Csec_G00415,27.19116587,-0.01669166,0.942699628,-0.017706234,0.985873208,1,Sham vs Control
Csec_G00416,1062.484163,0.509172116,0.597012468,0.852866805,0.393733172,1,Sham vs Control
Csec_G00418,512.3962699,-0.560592884,0.445704342,-1.257768506,0.208475489,1,Sham vs Control
Csec_G00419,94.83085898,-0.624294474,0.571789868,-1.091825002,0.274910027,1,Sham vs Control
Csec_G00420,1071.883979,0.638430115,0.468914146,1.361507474,0.173353373,1,Sham vs Control
Csec_G00421,143.0830932,-0.029900984,0.682457562,-0.04381369,0.965052915,1,Sham vs Control
Csec_G00422,2169.980425,-0.143932128,0.530645211,-0.271239851,0.786206565,1,Sham vs Control
Csec_G00423,10.95990468,1.177740553,1.584834212,0.743131707,0.457401945,1,Sham vs Control
Csec_G00424,8.901539681,-1.036631105,1.799278494,-0.576137107,0.564522512,1,Sham vs Control
Csec_G00426,338.6608356,0.024788201,0.22132376,0.111999728,0.910823622,1,Sham vs Control
Csec_G00427,54.5542718,0.154246002,1.041421608,0.148111006,0.882255163,1,Sham vs Control
