GeneID,baseMean,Log2FoldChange,lfcSE,stat,pvalue,padj
G14533,48.68117437,2.563127851,0.730554817,3.508467526,0.000450696,0.009141237
G13274,3393.069053,2.562196569,0.473759149,5.408226043,6.37E-08,1.33E-05
G01868,12040.42698,2.557978322,0.590908657,4.32888957,1.50E-05,0.000815907
G11359,289.7480263,2.556950927,0.695823924,3.674709707,0.00023812,0.005823708
G17422,609.3335733,2.554877027,0.502906237,5.080225373,3.77E-07,5.62E-05
G06275,261.0696809,2.547951813,0.731201526,3.484609541,0.000492856,0.009673258
G14761,646.4505386,2.541662242,0.919938342,2.762861516,0.005729707,0.049466687
G03001,1725.696718,2.536408178,0.791630119,3.204031929,0.001355174,0.018813187
G15136,1562.935618,2.528587912,0.605493639,4.176076753,2.97E-05,0.001428374
G05603,53.61663302,2.520854709,0.89396464,2.81985953,0.004804468,0.043849521
G01126,458.8809259,2.517371781,0.554547522,4.539505961,5.64E-06,0.000410505
G15674,21.78030328,2.515948091,0.792530326,3.174576428,0.001500554,0.020313441
G09175,1284.03823,2.495861837,0.667987688,3.73638898,0.000186682,0.004900691
G18314,2617.380047,2.490562097,0.630352823,3.951060428,7.78E-05,0.002698844
G17079,1589.786818,2.479941033,0.603648754,4.108251723,3.99E-05,0.001727366
G15426,600.3128915,2.474884538,0.864558554,2.862599099,0.004201818,0.040025886
G07161,126.3620976,2.466770247,0.870101518,2.835037286,0.004582034,0.042438037
G08789,5437.168996,2.46211197,0.483159909,5.095853201,3.47E-07,5.30E-05
